y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71,y_72,x_72,y_73,x_73,y_74,x_74,y_75,x_75,y_76,x_76,y_77,x_77,y_78,x_78,y_79,x_79,y_80,x_80,y_81,x_81,y_82,x_82,y_83,x_83,y_84,x_84,y_85,x_85,y_86,x_86,y_87,x_87,y_88,x_88,y_89,x_89,y_90,x_90,y_91,x_91,y_92,x_92,y_93,x_93,y_94,x_94,y_95,x_95,y_96,x_96,y_97,x_97,y_98,x_98,y_99,x_99
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,36,1,35,1,34,1,33,1,32,1,32,2,31,2,31,3,30,3,29,3,28,3,28,4,28,5,28,6,28,7,27,7,26,7,26,8,26,9,26,10,26,11,26,12,26,13,25,13,25,14,24,14,24,15,23,15,22,15,22,16,21,16,21,17,21,18,21,19,20,19,19,19,18,19,17,19,16,19,15,19,14,19,13,19,12,19,11,19,10,19,9,19,8,19,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,38,1,37,1,36,1,36,2,36,3,35,3,34,3,33,3,33,4,32,4,32,5,31,5,30,5,30,6,30,7,29,7,29,8,28,8,28,9,27,9,26,9,26,10,26,11,26,12,26,13,25,13,24,13,23,13,23,14,22,14,22,15,22,16,22,17,21,17,20,17,20,18,20,19,20,20,19,20,18,20,17,20,16,20,15,20,14,20,13,20,12,20,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,36,1,35,1,34,1,33,1,32,1,31,1,30,1,29,1,28,1,27,1,26,1,25,1,25,2,24,2,23,2,22,2,22,3,21,3,21,4,21,5,20,5,20,6,19,6,19,7,19,8,18,8,18,9,18,10,18,11,17,11,16,11,16,12,15,12,15,13,14,13,14,14,13,14,12,14,11,14,11,15,10,15,9,15,8,15,8,16,8,17,8,18,7,18,6,18,6,19,5,19,5,20,4,20,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,29,0,29,1,29,2,28,2,28,3,27,3,27,4,26,4,26,5,25,5,24,5,24,6,24,7,24,8,24,9,24,10,24,11,24,12,24,13,24,14,23,14,22,14,22,15,21,15,21,16,21,17,21,18,21,19,21,20,21,21,21,22,20,22,20,23,20,24,20,25,19,25,18,25,18,26,18,27,18,28,18,29,17,29,17,30,16,30,16,31,15,31,15,32,15,33,15,34,14,34,14,33,14,32,14,31,14,30,14,29,13,29,13,28,12,28,12,27,11,27,10,27,10,26,10,25,10,24,9,24,8,24,7,24,7,23,6,23,6,22,5,22,5,21,4,21,3,21,2,21,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,31,1,31,2,30,2,29,2,28,2,28,3,28,4,28,5,27,5,26,5,26,6,25,6,24,6,23,6,22,6,21,6,21,7,21,8,20,8,19,8,19,9,18,9,18,10,18,11,17,11,17,12,16,12,15,12,15,13,14,13,13,13,13,14,13,15,12,15,12,16,11,16,10,16,10,17,10,18,9,18,8,18,7,18,6,18,5,18,5,19,5,20,4,20,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,38,1,37,1,36,1,35,1,35,2,34,2,33,2,32,2,31,2,31,3,30,3,29,3,29,4,29,5,29,6,28,6,28,7,27,7,26,7,25,7,24,7,24,8,23,8,22,8,21,8,21,9,21,10,21,11,21,12,20,12,20,13,20,14,19,14,18,14,17,14,17,15,17,16,17,17,16,17,16,18,16,19,15,19,14,19,13,19,12,19,11,19,10,19,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,36,1,35,1,34,1,33,1,32,1,31,1,30,1,30,2,29,2,28,2,28,3,27,3,27,4,27,5,26,5,25,5,25,6,24,6,24,7,23,7,23,8,23,9,23,10,23,11,23,12,22,12,21,12,21,13,21,14,21,15,21,16,20,16,20,17,20,18,20,19,20,20,20,21,19,21,19,20,18,20,17,20,16,20,15,20,14,20,13,20,12,20,11,20,10,20,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,38,1,37,1,36,1,35,1,34,1,34,2,33,2,32,2,31,2,30,2,29,2,28,2,27,2,27,3,27,4,27,5,26,5,25,5,24,5,24,6,24,7,23,7,23,8,22,8,22,9,21,9,21,10,20,10,19,10,19,11,19,12,18,12,17,12,16,12,15,12,14,12,14,13,13,13,13,14,12,14,11,14,10,14,10,15,10,16,10,17,10,18,9,18,9,19,9,20,8,20,7,20,6,20,5,20,4,20,3,20,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,29,0,28,0,28,1,28,2,27,2,27,3,27,4,26,4,25,4,24,4,23,4,23,5,22,5,21,5,20,5,19,5,19,6,18,6,18,7,17,7,17,8,17,9,16,9,15,9,15,10,15,11,15,12,15,13,14,13,14,14,14,15,14,16,13,16,12,16,11,16,11,17,10,17,9,17,9,18,8,18,7,18,6,18,5,18,4,18,3,18,2,18,2,19,2,20,1,20,0,20
39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,38,0,37,0,36,0,35,0,34,0,33,0,32,0,31,0,30,0,30,1,29,1,28,1,27,1,26,1,25,1,24,1,23,1,22,1,21,1,20,1,19,1,18,1,17,1,16,1,15,1,14,1,13,1,12,1,12,2,12,3,12,4,12,5,12,6,11,6,10,6,9,6,9,7,8,7,7,7,7,8,6,8,6,9,6,10,5,10,5,11,5,12,5,13,5,14,4,14,4,15,3,15,2,15,2,16,2,17,2,18,1,18,1,19,1,20,0,20
