y_0,x_0,y_1,x_1,y_2,x_2,y_3,x_3,y_4,x_4,y_5,x_5,y_6,x_6,y_7,x_7,y_8,x_8,y_9,x_9,y_10,x_10,y_11,x_11,y_12,x_12,y_13,x_13,y_14,x_14,y_15,x_15,y_16,x_16,y_17,x_17,y_18,x_18,y_19,x_19,y_20,x_20,y_21,x_21,y_22,x_22,y_23,x_23,y_24,x_24,y_25,x_25,y_26,x_26,y_27,x_27,y_28,x_28,y_29,x_29,y_30,x_30,y_31,x_31,y_32,x_32,y_33,x_33,y_34,x_34,y_35,x_35,y_36,x_36,y_37,x_37,y_38,x_38,y_39,x_39,y_40,x_40,y_41,x_41,y_42,x_42,y_43,x_43,y_44,x_44,y_45,x_45,y_46,x_46,y_47,x_47,y_48,x_48,y_49,x_49,y_50,x_50,y_51,x_51,y_52,x_52,y_53,x_53,y_54,x_54,y_55,x_55,y_56,x_56,y_57,x_57,y_58,x_58,y_59,x_59,y_60,x_60,y_61,x_61,y_62,x_62,y_63,x_63,y_64,x_64,y_65,x_65,y_66,x_66,y_67,x_67,y_68,x_68,y_69,x_69,y_70,x_70,y_71,x_71
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,32,14,32,13,32,12,31,12,30,12,29,12,28,12,27,12,26,12,26,11,25,11,24,11,23,11,22,11,21,11,20,11,20,10,19,10,18,10,18,9,18,8,18,7,17,7,17,6,16,6,16,5,16,4,15,4,14,4,13,4,13,3,13,2,13,1,12,1,11,1,10,1,9,1,8,1,7,1,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,35,13,34,13,33,13,32,13,32,12,31,12,31,11,31,10,30,10,30,9,29,9,28,9,28,8,27,8,26,8,25,8,25,7,25,6,24,6,23,6,23,5,22,5,21,5,20,5,19,5,19,4,18,4,17,4,17,3,17,2,16,2,15,2,14,2,13,2,12,2,11,2,10,2,10,1,9,1,8,1,7,1,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,34,15,33,15,32,15,31,15,30,15,29,15,28,15,27,15,26,15,25,15,24,15,23,15,22,15,21,15,20,15,19,15,18,15,17,15,16,15,15,15,14,15,14,16,13,16,12,16,11,16,11,15,11,14,10,14,10,13,10,12,9,12,8,12,8,11,8,10,8,9,7,9,7,8,7,7,7,6,7,5,6,5,6,4,6,3,5,3,5,2,4,2,4,1,3,1,2,1,2,0,1,0,0,0
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,38,13,37,13,36,13,35,13,34,13,33,13,32,13,32,12,31,12,31,11,31,10,30,10,29,10,28,10,28,9,28,8,27,8,26,8,25,8,25,7,24,7,24,6,24,5,23,5,23,4,23,3,22,3,21,3,20,3,19,3,18,3,18,2,17,2,16,2,16,1,15,1,14,1,13,1,13,0,12,0,11,0,10,0,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,38,13,38,12,37,12,37,11,36,11,35,11,34,11,33,11,33,10,32,10,31,10,31,9,31,8,31,7,31,6,31,5,30,5,30,4,30,3,30,2,30,1,30,0,29,0,28,0,27,0,26,0,25,0,24,0,23,0,22,0,21,0,20,0,19,0,18,0,17,0,16,0,15,0,14,0,13,0,12,0,11,0,10,0,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,33,14,32,14,31,14,30,14,29,14,29,13,28,13,28,12,28,11,27,11,27,10,27,9,26,9,25,9,24,9,23,9,22,9,21,9,20,9,20,8,19,8,19,7,19,6,18,6,17,6,16,6,16,5,15,5,14,5,13,5,12,5,11,5,10,5,9,5,8,5,7,5,7,4,7,3,6,3,6,2,6,1,5,1,4,1,4,0,3,0,2,0,1,0,0,0
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,34,13,33,13,32,13,32,12,31,12,30,12,29,12,29,11,28,11,27,11,27,10,26,10,25,10,24,10,23,10,23,9,23,8,23,7,23,6,23,5,22,5,21,5,21,4,20,4,19,4,19,3,18,3,17,3,16,3,16,2,15,2,14,2,13,2,13,1,13,0,12,0,11,0,10,0,9,0,8,0,7,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,37,14,36,14,36,13,35,13,34,13,33,13,32,13,31,13,30,13,29,13,28,13,27,13,27,12,26,12,25,12,24,12,24,11,24,10,23,10,22,10,22,9,22,8,21,8,20,8,20,7,20,6,19,6,18,6,17,6,16,6,16,5,15,5,14,5,14,4,14,3,14,2,14,1,13,1,12,1,11,1,10,1,9,1,8,1,7,1,6,1,5,1,5,0,4,0,3,0,2,0,1,0,0,0
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,37,14,36,14,35,14,34,14,34,15,33,15,32,15,31,15,30,15,29,15,28,15,28,16,27,16,26,16,25,16,24,16,24,17,23,17,22,17,21,17,20,17,19,17,18,17,17,17,16,17,15,17,14,17,13,17,12,17,11,17,10,17,9,17,8,17,8,16,7,16,7,15,7,14,6,14,6,13,6,12,6,11,6,10,6,9,5,9,4,9,3,9,3,8,3,7,3,6,3,5,3,4,3,3,3,2,2,2,2,1,2,0,1,0,0,0
39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,39,14,38,14,37,14,36,14,36,13,35,13,34,13,33,13,32,13,31,13,30,13,29,13,28,13,28,12,27,12,27,11,26,11,25,11,24,11,24,10,24,9,23,9,22,9,21,9,20,9,19,9,18,9,18,8,18,7,17,7,16,7,15,7,14,7,13,7,13,6,12,6,12,5,12,4,11,4,11,3,10,3,10,2,9,2,8,2,7,2,7,1,6,1,5,1,4,1,3,1,2,1,1,1,1,0,0,0
